Name,Type,File,Dependencies,Used In Recipes,Recipe Outputs,Hardness,Resistance,Tool,Creative Tabs,Has GUI,Recipe Type,Inputs,Output,Output Count,Durability,Enchantability,Repair Items,Health,Attack,Spawn Biomes,Drops
Packed Sand Bricks,block,PackedSandBricks.mod,,,,3.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Packed Sand Stairs,block,PackedSandStairs.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Palo Button,block,PaloButton.mod,,,,2.0,3.0,Not specified,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Fence,block,PaloFence.mod,,,,2.0,3.0,Not specified,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Fence Gate,block,PaloFenceGate.mod,,,,2.0,3.0,Not specified,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Leaves,block,PaloLeaves.mod,,,,0.2,0.2,Not specified,"DECORATIONS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Log,block,PaloLog.mod,,,,2.0,2.0,axe,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Planks,block,PaloPlanks.mod,,,,2.0,3.0,axe,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Pressure Plate,block,PaloPressurePlate.mod,,,,2.0,3.0,Not specified,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Slab,block,PaloSlab.mod,,,,2.0,3.0,Not specified,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Stairs,block,PaloStairs.mod,,,,3.0,2.0,Not specified,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Palo Wood,block,PaloWood.mod,,,,2.0,2.0,axe,"BUILDING_BLOCKS, CUSTOM:TheGreatExpansion",No,,,,,,,,,,,
Permafrost,block,Permafrost.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Permafrost Iron Ore,block,PermafrostIronOre.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Pressure Cooker,block,PressureCooker.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,Yes,,,,,,,,,,,
Propane Generator,block,PropaneGenerator.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,Yes,,,,,,,,,,,
Refinery,block,Refinery.mod,,,refinery_recipe,1.0,10.0,Not specified,,Yes,,,,,,,,,,,
Reinforced Chest,block,ReinforcedChest.mod,,,,3.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,Yes,,,,,,,,,,,
Reinforced Permafrost,block,ReinforcedPermafrost.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Sand Vault,block,SandVault.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Sky Catalyst Marker,block,SkyCatalystMarker.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Sky Stone,block,SkyStone.mod,,,,1.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Skyshard Block,block,SkyshardBlock.mod,,,,1.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Skywood Button,block,SkywoodButton.mod,,,,0.5,0.5,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Door,block,SkywoodDoor.mod,,,,3.0,3.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Fence,block,SkywoodFence.mod,,,,2.0,3.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Fence Gate,block,SkywoodFenceGate.mod,,,,2.0,3.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Leaves,block,SkywoodLeaves.mod,,,,0.2,0.2,Not specified,DECORATIONS,No,,,,,,,,,,,
Skywood Log,block,SkywoodLog.mod,,,,2.0,2.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Planks,block,SkywoodPlanks.mod,,,,2.0,3.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Pressure Plate,block,SkywoodPressurePlate.mod,,,,0.5,0.5,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Slab,block,SkywoodSlab.mod,,,,2.0,3.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Stairs,block,SkywoodStairs.mod,,,,2.0,3.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Trapdoor,block,SkywoodTrapdoor.mod,,,,3.0,3.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Skywood Wood,block,SkywoodWood.mod,,,,2.0,2.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Small Snowman,block,SmallSnowman.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Steel Frame,block,SteelFrame.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Stripped Skywood Log,block,StrippedSkywoodLog.mod,,,,2.0,2.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
Stripped Skywood Wood,block,StrippedSkywoodWood.mod,,,,2.0,2.0,axe,BUILDING_BLOCKS,No,,,,,,,,,,,
The Skylands,dimension,TheSkylands.mod,"SkyFlats, mutated_forest, plains, stone_beach, beaches",,,,,,,,,,,,,,,,,,
Alpentall,enchantment,Alpentall.mod,,,,,,,,,,,,,,,,,,,
PaloTree.mod,feature,PaloTree.mod,,,,,,,,,,,,,,,,,,,
Crude Oil,fluid,CrudeOil.mod,,,,,,,,,,,,,,,,,,,
WaterTank.mod,fluid_tanks,WaterTank.mod,,,,,,,,,,,,,,,,,,,
Alpha2StatueGUI.mod,gui,Alpha2StatueGUI.mod,,,,,,,,,,,,,,,,,,,
CrusherGUI.mod,gui,CrusherGUI.mod,,,,,,,,,,,,,,,,,,,
FillerGUI.mod,gui,FillerGUI.mod,,,,,,,,,,,,,,,,,,,
GerminationTankGUI.mod,gui,GerminationTankGUI.mod,,,,,,,,,,,,,,,,,,,
InductionFurnaceGUI.mod,gui,InductionFurnaceGUI.mod,,,,,,,,,,,,,,,,,,,
JewleryWorkbenchGUI.mod,gui,JewleryWorkbenchGUI.mod,,,,,,,,,,,,,,,,,,,
LavaleerGUI.mod,gui,LavaleerGUI.mod,,,,,,,,,,,,,,,,,,,
PressureCookerGUI.mod,gui,PressureCookerGUI.mod,,,,,,,,,,,,,,,,,,,
PropaneGeneratorGUI.mod,gui,PropaneGeneratorGUI.mod,,,,,,,,,,,,,,,,,,,
RefineryGUI.mod,gui,RefineryGUI.mod,,,,,,,,,,,,,,,,,,,
ReinforcedChestGUI.mod,gui,ReinforcedChestGUI.mod,,,,,,,,,,,,,,,,,,,
Aluminum Ingot,item,AluminumIngot.mod,,,,,,,,,,,,,,,,,,,
Diesel 38 fl oz,item,Diesel1.mod,,,,,,,,,,,,,,,,,,,
Empty Propane Tank,item,EmptyPropaneTank.mod,,,,,,,,,,,,,,,,,,,
Filled Propane Tank,item,FilledPropaneTank.mod,,,,,,,,,,,,,,,,,,,
Gasoline 60 fl oz,item,Gasoline1.mod,,,,,,,,,,,,,,,,,,,
Lead Arrow,item,LeadArrow.mod,,,,,,,,,,,,,,,,,,,
Lead Ingot,item,LeadIngot.mod,,,,,,,,,,,,,,,,,,,
Mercury Ingot,item,MercuryIngot.mod,,,,,,,,,,,,,,,,,,,
Propane (Gas),item,Propane.mod,,,,,,,,,,,,,,,,,,,
Silicon Dust,item,SiliconDust.mod,,,,,,,,,,,,,,,,,,,
Silicon Ingot,item,SiliconIngot.mod,,,,,,,,,,,,,,,,,,,
Silicon Padding Boots,item,SiliconPaddingBoots.mod,,,,,,,,,,,,,,,,,,,
Silicon Padding Chestplate,item,SiliconPaddingChestplate.mod,,,,,,,,,,,,,,,,,,,
Silicon Padding Helmet,item,SiliconPaddingHelmet.mod,,,,,,,,,,,,,,,,,,,
Silicon Padding Pants,item,SiliconPaddingPants.mod,,,,,,,,,,,,,,,,,,,
Silicon Sheets,item,SiliconSheets.mod,,,,,,,,,,,,,,,,,,,
Sky Berries,item,SkyBerries.mod,,,,,,,,,,,,,,,,,,,
Sky Catalyst,item,SkyCatalyst.mod,,,,,,,,,,,,,,,,,,,
Skylariam Gem,item,SkylariamGem.mod,,,,,,,,,,,,,,,,,,,
Skyshard,item,Skyshard.mod,,"sky_catalyst_recipe, sky_catalyst_recipe, sky_catalyst_recipe, sky_catalyst_recipe",,,,,,,,,,,,,,,,,
Snowscape,item,SnowscapeDisk.mod,,,,,,,,,,,,,,,,,,,
Steel Beams,item,SteelBeams.mod,,,,,,,,,,,,,,,,,,,
Steel Face Plate,item,SteelFacePlate.mod,,,,,,,,,,,,,,,,,,,
Steel Ingot,item,SteelIngot.mod,,,,,,,,,,,,,,,,,,,
Steel Powder,item,SteelPowder.mod,,,,,,,,,,,,,,,,,,,
Tin Ingot,item,TinIngot.mod,,,,,,,,,,,,,,,,,,,
Titanium Ingot,item,TitaniumIngot.mod,,,,,,,,,,,,,,,,,,,
SteelPowderJEI.mod,jeirecipe,SteelPowderJEI.mod,,,,,,,,,,,,,,,,,,,
blocks/skyshard_block,loottable,SkyshardBlockLootTable.mod,,,,,,,,,,,,,,,,,,,
Sand Crab,mob,SandCrab.mod,,,,,,,,,,,,,,,,10.0,3.0,desert,
Sub Zombie,mob,SubZombie.mod,,,,,,,,,,,,,,,,10.0,3.0,"WildTundra, frozen_ocean, frozen_peaks, frozen_river, mutated_ice_flats, snowy_slopes, cold_beach, snowy_tundra, taiga_cold, taiga",
Hellebore,plant,Hellebore.mod,,,,,,,,,,,,,,,,,,,
Palo Sapling,plant,PaloSapling.mod,,,,,,,,,,,,,,,,,,,
Sky Berry Plant,plant,SkyBerryPlant.mod,,,,,,,,,,,,,,,,,,,
Snow Lily,plant,SnowLily.mod,,,,,,,,,,,,,,,,,,,
Snowdrop,plant,Snowdrop.mod,,,,,,,,,,,,,,,,,,,
Winterberry,plant,Winterberry.mod,,,,,,,,,,,,,,,,,,,
Avencidor,potion,AvencidorPotion.mod,"STRENGTH, HEALTH_BOOST, LUCK",,,,,,,,,,,,,,,,,,
Snowfleck,potion,SnowfleckPotion.mod,"FIRE_RESISTANCE, WATER_BREATHING, HEALTH_BOOST",,,,,,,,,,,,,,,,,,
Snowbound.mod,potioneffect,Snowbound.mod,,,,,,,,,,,,,,,,,,,
CrusherProcedure.mod,procedure,CrusherProcedure.mod,,,,,,,,,,,,,,,,,,,
FillerProc.mod,procedure,FillerProc.mod,,,,,,,,,,,,,,,,,,,
InductionFurnaceCrafting.mod,procedure,InductionFurnaceCrafting.mod,,,,,,,,,,,,,,,,,,,
InductionFurnaceGaugetextureEnergy.mod,procedure,InductionFurnaceGaugetextureEnergy.mod,,,,,,,,,,,,,,,,,,,
InductionFurnaceGaugetextureHeat.mod,procedure,InductionFurnaceGaugetextureHeat.mod,,,,,,,,,,,,,,,,,,,
InductionFurnaceGetEnergy.mod,procedure,InductionFurnaceGetEnergy.mod,,,,,,,,,,,,,,,,,,,
PressureCookerPowerValue.mod,procedure,PressureCookerPowerValue.mod,,,,,,,,,,,,,,,,,,,
PressureCookerProcedure.mod,procedure,PressureCookerProcedure.mod,,,,,,,,,,,,,,,,,,,
PropaneGeneratorOnTickUpdate.mod,procedure,PropaneGeneratorOnTickUpdate.mod,,,,,,,,,,,,,,,,,,,
PropaneGeneratorPowerGauge.mod,procedure,PropaneGeneratorPowerGauge.mod,,,,,,,,,,,,,,,,,,,
PropaneGeneratorPowerValue.mod,procedure,PropaneGeneratorPowerValue.mod,,,,,,,,,,,,,,,,,,,
PropaneGeneratorProcedure.mod,procedure,PropaneGeneratorProcedure.mod,,,,,,,,,,,,,,,,,,,
RefineryProc.mod,procedure,RefineryProc.mod,,,,,,,,,,,,,,,,,,,
ReinforcedChestBlockIsPlacedBy.mod,procedure,ReinforcedChestBlockIsPlacedBy.mod,,,,,,,,,,,,,,,,,,,
ReinforcedChestClose.mod,procedure,ReinforcedChestClose.mod,,,,,,,,,,,,,,,,,,,
ReinforcedChestOnBlockRightClicked.mod,procedure,ReinforcedChestOnBlockRightClicked.mod,,,,,,,,,,,,,,,,,,,
ReinforcedChestOpen.mod,procedure,ReinforcedChestOpen.mod,,,,,,,,,,,,,,,,,,,
SkyCatalystRightclickedOnBlock.mod,procedure,SkyCatalystRightclickedOnBlock.mod,,,,,,,,,,,,,,,,,,,
SteelHammerBlockDestroyedWithTool.mod,procedure,SteelHammerBlockDestroyedWithTool.mod,,,,,,,,,,,,,,,,,,,
SubZombieItIsStruckByLightning.mod,procedure,SubZombieItIsStruckByLightning.mod,,,,,,,,,,,,,,,,,,,
LeadArrowProjectile.mod,projectile,LeadArrowProjectile.mod,,,,,,,,,,,,,,,,,,,
aluminum_ingot_recipe,recipe,AluminumIngotRecipe.mod,,,,,,,,,Smelting,,,1.0,,,,,,,
aqualith_armor_boots_recipe,recipe,AqualithArmorBootsRecipe.mod,"Aqualith, Aqualith, Aqualith, Aqualith",,,,,,,,Crafting,Aqualith + Aqualith + Aqualith + Aqualith,AqualithArmor.boots,1.0,,,,,,,
aqualith_armor_chestplate_recipe,recipe,AqualithArmorChestplateRecipe.mod,"Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith",,,,,,,,Crafting,Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith,AqualithArmor.body,1.0,,,,,,,
aqualith_armor_helmet_recipe,recipe,AqualithArmorHelmetRecipe.mod,"Aqualith, Aqualith, Aqualith, Aqualith, Aqualith",,,,,,,,Crafting,Aqualith + Aqualith + Aqualith + Aqualith + Aqualith,AqualithArmor.helmet,1.0,,,,,,,
aqualith_armor_leggings_recipe,recipe,AqualithArmorLeggingsRecipe.mod,"Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith",,,,,,,,Crafting,Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith,AqualithArmor.legs,1.0,,,,,,,
aqualith_axe_recipe,recipe,AqualithAxeRecipe.mod,"Aqualith, Aqualith, Aqualith, Stick, Stick",,,,,,,,Crafting,Aqualith + Aqualith + Aqualith + Stick + Stick,AqualithAxe,1.0,,,,,,,
aqualith_block_ore_recipe,recipe,AqualithBlockOreRecipe.mod,AqualithBlock,,,,,,,,Crafting,AqualithBlock,Aqualith,9.0,,,,,,,
aqualith_hoe_recipe,recipe,AqualithHoeRecipe.mod,"Aqualith, Aqualith, Stick, Stick",,,,,,,,Crafting,Aqualith + Aqualith + Stick + Stick,AqualithHoe,1.0,,,,,,,
aqualith_ore_block_recipe,recipe,AqualithOreBlockRecipe.mod,"Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith, Aqualith",,,,,,,,Crafting,Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith + Aqualith,AqualithBlock,1.0,,,,,,,
aqualith_ore_smelting,recipe,AqualithOreSmelting.mod,,,,,,,,,Smelting,,,1.0,,,,,,,
aqualith_pickaxe_recipe,recipe,AqualithPickaxeRecipe.mod,"Aqualith, Aqualith, Aqualith, Stick, Stick",,,,,,,,Crafting,Aqualith + Aqualith + Aqualith + Stick + Stick,AqualithPickaxe,1.0,,,,,,,
aqualith_shovel_recipe,recipe,AqualithShovelRecipe.mod,"Aqualith, Stick, Stick",,,,,,,,Crafting,Aqualith + Stick + Stick,AqualithShovel,1.0,,,,,,,
aqualith_sword_recipe,recipe,AqualithSwordRecipe.mod,"Aqualith, Aqualith, Stick",,,,,,,,Crafting,Aqualith + Aqualith + Stick,AqualithSword,1.0,,,,,,,
asphalt_slabs_recipe,recipe,AsphaltSlabsRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
asphalt_stairs_recipe,recipe,AsphaltStairsRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_pillar_3_way_recipe,recipe,CobblestonePillar3WayRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_pillar_4_way_recipe,recipe,CobblestonePillar4WayRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_pillar_base_recipe,recipe,CobblestonePillarBaseRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_pillar_recipe,recipe,CobblestonePillarRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_pillar_t_section_recipe,recipe,CobblestonePillarTSectionRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_pillar_topper_recipe,recipe,CobblestonePillarTopperRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_side_pillar_3_way_recipe,recipe,CobblestoneSidePillar3WayRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_side_pillar_4_way_recipe,recipe,CobblestoneSidePillar4WayRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
cobblestone_side_pillar_recipe,recipe,CobblestoneSidePillarRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
crusher_recipe,recipe,CrusherRecipe.mod,"TinIngot, Redstone Block, TinIngot, TinIngot, Grindstone, TinIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot",,,,,,,,Crafting,TinIngot + Redstone Block + TinIngot + TinIngot + Grindstone + TinIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot,Crusher,1.0,,,,,,,
diamond_hammer_recipe,recipe,DiamondHammerRecipe.mod,"Diamond, Diamond, Diamond, Diamond, Stick, Diamond, Stick",,,,,,,,Crafting,Diamond + Diamond + Diamond + Diamond + Stick + Diamond + Stick,DiamondHammer,1.0,,,,,,,
filler_recipe,recipe,FillerRecipe.mod,"TinIngot, AluminumIngot, Smooth Stone, Smooth Stone, Smooth Stone",,,,,,,,Crafting,TinIngot + AluminumIngot + Smooth Stone + Smooth Stone + Smooth Stone,Filler,1.0,,,,,,,
ice_cutter_recipe,recipe,IceCutterRecipe.mod,"Planks, Stonecutter, Planks, Planks, Planks, Planks",,,,,,,,Crafting,Planks + Stonecutter + Planks + Planks + Planks + Planks,IceCutter,1.0,,,,,,,
induction_furnace_recipe,recipe,InductionFurnaceRecipe.mod,"Cobbled Deepslate, SteelFrame, Cobbled Deepslate, SteelIngot, Blast Furnace, SteelIngot, Smooth Stone, MachineFrame, Smooth Stone",,,,,,,,Crafting,Cobbled Deepslate + SteelFrame + Cobbled Deepslate + SteelIngot + Blast Furnace + SteelIngot + Smooth Stone + MachineFrame + Smooth Stone,InductionFurnace,1.0,,,,,,,
